event_id,member_id,event_datetime,event_type,platform,session_duration_seconds,notification_engagement,event_day_of_week,event_hour,is_session_duration_outlier
APP-068554,MBR-011079,2023-06-18 16:51:27,Workout Logged Manually,iOS,27,Not Applicable,Sunday,16,False
APP-025551,MBR-004090,2025-06-08 19:37:04,Community/WhatsApp-style Group Post,iOS,60,Not Applicable,Sunday,19,False
APP-021145,MBR-000721,2023-10-28 00:56:20,Workout Logged Manually,Android,120,Not Applicable,Saturday,0,False
APP-001748,MBR-000871,2023-05-25 07:54:28,Workout Logged Manually,Android,64,Not Applicable,Thursday,7,False
APP-075322,MBR-006266,2025-01-01 07:42:51,Diet Log Entry,Android,92,Not Applicable,Wednesday,7,False
APP-020308,MBR-005772,2023-06-06 17:21:38,App Opened–No Action,Android,7,Not Applicable,Tuesday,17,False
APP-016471,MBR-013979,2025-03-29 17:22:19,App Opened–No Action,Android,17,Not Applicable,Saturday,17,False
APP-067608,MBR-009801,2024-01-23 09:58:13,Workout Logged Manually,Android,42,Not Applicable,Tuesday,9,False
APP-077820,MBR-010111,2024-12-21 21:26:20,Diet Log Entry,Android,55,Not Applicable,Saturday,21,False
APP-027107,MBR-007892,2025-07-08 22:08:09,Streak Viewed,Android,34,Not Applicable,Tuesday,22,False
APP-022122,MBR-013704,2025-04-18 11:21:47,Badge Earned,Android,81,Not Applicable,Friday,11,False
APP-030320,MBR-014413,2025-01-02 12:57:19,App Opened–No Action,Android,9,Not Applicable,Thursday,12,False
APP-004121,MBR-006960,2024-04-07 23:43:29,Streak Viewed,Android,31,Not Applicable,Sunday,23,False
APP-022222,MBR-006645,2022-01-29 21:17:08,Workout Logged Manually,Android,75,Not Applicable,Saturday,21,False
APP-073662,MBR-001962,2025-04-28 07:20:31,Diet Log Entry,Android,106,Not Applicable,Monday,7,False
APP-052139,MBR-000917,2024-03-03 06:05:45,Diet Log Entry,Android,153,Not Applicable,Sunday,6,False
APP-020958,MBR-007371,2025-06-11 06:18:26,Badge Earned,Android,41,Not Applicable,Wednesday,6,False
APP-033962,MBR-014271,2022-05-01 06:57:14,Streak Viewed,Android,51,Not Applicable,Sunday,6,False
APP-038853,MBR-012813,2024-01-27 21:20:42,Community/WhatsApp-style Group Post,Android,79,Not Applicable,Saturday,21,False
APP-027920,MBR-014667,2025-10-04 07:07:04,Workout Logged Manually,iOS,43,Not Applicable,Saturday,7,False
APP-027313,MBR-011827,2024-07-28 10:14:07,Community/WhatsApp-style Group Post,Android,67,Not Applicable,Sunday,10,False
APP-095423,MBR-015743,2024-09-12 07:41:49,Reminder Snoozed,Android,11,Opened,Thursday,7,False
APP-096808,MBR-016346,2024-05-20 09:17:10,Reminder Snoozed,Android,11,Opened,Monday,9,False
APP-063147,MBR-014371,2024-05-16 07:15:07,Badge Earned,Android,43,Not Applicable,Thursday,7,False
APP-052757,MBR-016789,2023-11-13 00:35:03,Streak Viewed,iOS,44,Not Applicable,Monday,0,False
APP-069455,MBR-016054,2024-02-09 10:57:48,Workout Logged Manually,Android,52,Not Applicable,Friday,10,False
APP-048172,MBR-004843,2024-01-08 06:16:42,Community/WhatsApp-style Group Post,Android,139,Not Applicable,Monday,6,False
APP-034461,MBR-007159,2024-01-24 05:21:37,App Opened–No Action,iOS,12,Not Applicable,Wednesday,5,False
APP-013382,MBR-001082,2024-08-19 17:37:58,Reminder Snoozed,Android,7,Opened,Monday,17,False
APP-010004,MBR-005019,2023-01-21 05:44:28,Reminder Snoozed,Android,4,Dismissed,Saturday,5,False
APP-000142,MBR-000305,2024-06-16 16:08:48,Reminder Snoozed,iOS,4,Opened,Sunday,16,False
APP-077308,MBR-002595,2023-05-03 05:06:07,Streak Viewed,Android,19,Not Applicable,Wednesday,5,False
APP-007599,MBR-016780,2023-04-01 18:47:01,Diet Log Entry,Android,81,Not Applicable,Saturday,18,False
APP-051036,MBR-013312,2024-01-07 19:18:01,Streak Viewed,Android,32,Not Applicable,Sunday,19,False
APP-002112,MBR-007990,2023-12-09 08:11:53,Streak Viewed,Android,32,Not Applicable,Saturday,8,False
APP-080456,MBR-008166,2024-02-02 05:23:51,Workout Logged Manually,Android,18,Not Applicable,Friday,5,False
APP-046178,MBR-005251,2023-03-18 14:24:47,Push Notification Opened,iOS,27,Ignored,Saturday,14,False
APP-092006,MBR-012995,2023-06-20 08:06:36,Workout Logged Manually,iOS,110,Not Applicable,Tuesday,8,False
APP-004770,MBR-014324,2023-05-23 18:18:44,Streak Viewed,Android,20,Not Applicable,Tuesday,18,False
APP-019141,MBR-012912,2025-01-02 05:14:45,Streak Viewed,iOS,49,Not Applicable,Thursday,5,False
APP-020019,MBR-002536,2022-10-14 16:19:31,Badge Earned,Android,30,Not Applicable,Friday,16,False
APP-085090,MBR-003976,2024-04-04 14:32:32,Workout Logged Manually,iOS,113,Not Applicable,Thursday,14,False
APP-077391,MBR-013080,2025-04-30 22:22:27,App Opened–No Action,Android,13,Not Applicable,Wednesday,22,False
APP-075993,MBR-015510,2025-10-03 22:55:54,Diet Log Entry,Android,41,Not Applicable,Friday,22,False
APP-083357,MBR-014900,2022-06-11 00:18:02,Streak Viewed,Android,50,Not Applicable,Saturday,0,False
APP-046057,MBR-017231,2025-01-12 05:54:50,Badge Earned,iOS,26,Not Applicable,Sunday,5,False
APP-007980,MBR-012917,2024-07-02 01:47:22,App Opened–No Action,iOS,6,Not Applicable,Tuesday,1,False
APP-022261,MBR-013365,2024-05-13 19:30:23,Workout Logged Manually,Android,43,Not Applicable,Monday,19,False
APP-071998,MBR-012437,2024-04-14 07:19:03,App Opened–No Action,Android,14,Not Applicable,Sunday,7,False
APP-036220,MBR-008634,2022-11-28 21:41:10,Workout Logged Manually,Android,29,Not Applicable,Monday,21,False
APP-051099,MBR-015030,2025-09-25 19:54:23,Push Notification Opened,Android,5,Ignored,Thursday,19,False
APP-071960,MBR-001957,2025-05-16 17:38:58,Workout Logged Manually,Android,57,Not Applicable,Friday,17,False
APP-035296,MBR-005425,2022-11-16 20:22:25,Workout Logged Manually,Android,203,Not Applicable,Wednesday,20,True
APP-027578,MBR-016179,2023-02-01 20:37:16,Push Notification Opened,Android,39,Dismissed,Wednesday,20,False
APP-035279,MBR-012602,2025-03-11 09:19:13,Diet Log Entry,Android,85,Not Applicable,Tuesday,9,False
APP-067875,MBR-015010,2024-11-16 07:19:55,Push Notification Opened,Android,19,Ignored,Saturday,7,False
APP-075390,MBR-013314,2022-04-22 13:25:22,Push Notification Opened,Android,9,Dismissed,Friday,13,False
APP-090304,MBR-003628,2023-04-13 19:32:30,Streak Viewed,Android,70,Not Applicable,Thursday,19,False
APP-016561,MBR-012997,2022-08-12 17:18:58,Community/WhatsApp-style Group Post,Android,84,Not Applicable,Friday,17,False
APP-045824,MBR-013247,2025-06-03 19:51:08,Push Notification Opened,Android,18,Opened,Tuesday,19,False
APP-089787,MBR-006426,2024-07-17 20:00:11,Reminder Snoozed,iOS,6,Opened,Wednesday,20,False
APP-024796,MBR-001573,2024-04-12 22:54:46,Streak Viewed,Android,42,Not Applicable,Friday,22,False
APP-036900,MBR-013069,2024-01-17 21:55:00,Streak Viewed,Android,48,Not Applicable,Wednesday,21,False
APP-058015,MBR-000748,2025-02-16 18:36:13,App Opened–No Action,Android,11,Not Applicable,Sunday,18,False
APP-037102,MBR-009153,2025-09-18 09:46:13,Referral Sent,Android,116,Not Applicable,Thursday,9,False
APP-055482,MBR-003171,2025-07-08 03:11:54,Reminder Snoozed,Android,5,Opened,Tuesday,3,False
APP-036505,MBR-008053,2023-11-10 05:04:34,Workout Logged Manually,Android,155,Not Applicable,Friday,5,False
APP-006821,MBR-014637,2024-12-20 07:10:28,Badge Earned,iOS,11,Not Applicable,Friday,7,False
APP-000568,MBR-017124,2023-01-01 18:21:14,Streak Viewed,Android,9,Not Applicable,Sunday,18,False
APP-026125,MBR-012333,2023-02-12 18:11:14,Streak Viewed,Android,37,Not Applicable,Sunday,18,False
APP-054397,MBR-003862,2022-08-04 23:31:49,Badge Earned,iOS,60,Not Applicable,Thursday,23,False
APP-088099,MBR-011356,2022-06-20 07:46:33,Diet Log Entry,Android,115,Not Applicable,Monday,7,False
APP-090437,MBR-004672,2024-11-25 06:48:15,Push Notification Opened,Android,10,Opened,Monday,6,False
APP-087598,MBR-012810,2025-01-28 10:36:14,Badge Earned,iOS,8,Not Applicable,Tuesday,10,False
APP-022437,MBR-017152,2022-08-26 17:23:21,Referral Sent,iOS,39,Not Applicable,Friday,17,False
APP-079199,MBR-011670,2025-05-31 09:40:13,App Opened–No Action,iOS,10,Not Applicable,Saturday,9,False
APP-048973,MBR-013663,2025-07-19 10:14:55,Push Notification Opened,Android,15,Not Applicable,Saturday,10,False
APP-081509,MBR-006204,2025-07-16 19:29:58,Streak Viewed,Android,101,Not Applicable,Wednesday,19,False
APP-005786,MBR-008406,2024-08-04 06:17:53,Reminder Snoozed,Android,8,Opened,Sunday,6,False
APP-071519,MBR-008937,2021-08-15 07:53:45,Diet Log Entry,Android,51,Not Applicable,Sunday,7,False
APP-025532,MBR-003362,2024-05-16 19:42:31,Community/WhatsApp-style Group Post,iOS,360,Not Applicable,Thursday,19,True
APP-038224,MBR-008837,2024-04-05 13:27:16,Push Notification Opened,iOS,10,Ignored,Friday,13,False
APP-067488,MBR-007878,2024-01-17 21:58:42,Referral Sent,Android,29,Not Applicable,Wednesday,21,False
APP-058475,MBR-010042,2023-04-25 21:31:07,Reminder Snoozed,iOS,12,Opened,Tuesday,21,False
APP-097682,MBR-013179,2024-11-24 00:48:37,Community/WhatsApp-style Group Post,Android,189,Not Applicable,Sunday,0,True
APP-095946,MBR-001360,2021-03-07 07:21:46,App Opened–No Action,iOS,12,Not Applicable,Sunday,7,False
APP-017135,MBR-016422,2025-01-14 08:43:08,Push Notification Opened,Android,8,Ignored,Tuesday,8,False
APP-094736,MBR-009093,2024-04-02 10:24:54,Diet Log Entry,Android,80,Not Applicable,Tuesday,10,False
APP-026301,MBR-013421,2024-05-28 10:42:43,Workout Logged Manually,Android,41,Not Applicable,Tuesday,10,False
APP-064823,MBR-011269,2025-04-19 08:05:37,Workout Logged Manually,iOS,49,Not Applicable,Saturday,8,False
