renewal_id,member_id,plan_type,billing_cycle_start,billing_cycle_end,amount_paid_inr,payment_method,discount_applied,discount_pct,renewal_status,days_before_expiry_renewed,renewal_channel,corporate_tie_up_flag
REN-033279,MBR-012925,Quarterly,2024-10-14,2025-01-13,5610,UPI,True,25,Renewed,7,App,False
REN-021692,MBR-008441,Monthly,2021-06-09,2021-07-09,5250,UPI,False,0,Renewed,0,App,False
REN-029065,MBR-011277,Half-Yearly,2023-01-13,2023-07-14,18720,Net Banking,False,0,Upgraded,6,Front Desk,False
REN-010157,MBR-003947,Monthly,2024-06-22,2024-07-22,7830,UPI,False,0,Renewed,16,Phone Call from Staff,False
REN-015780,MBR-006099,Monthly,2026-01-12,2026-02-11,1600,Credit Card,True,20,Renewed,7,App,False
REN-019833,MBR-007693,Monthly,2025-07-07,2025-08-06,1640,UPI,False,0,Renewed,3,App,False
REN-038101,MBR-014777,Monthly,2024-11-21,2024-12-21,1190,Credit Card,False,0,Renewed,-3,App,False
REN-014723,MBR-005690,Quarterly,2023-07-28,2023-10-27,3810,UPI,False,0,Renewed,2,Phone Call from Staff,False
REN-016241,MBR-006285,Monthly,2023-04-11,2023-05-11,4620,Debit Card,False,0,Renewed,9,Phone Call from Staff,False
REN-031120,MBR-012103,Monthly,2023-09-28,2023-10-28,3190,UPI,True,10,Renewed,-8,Phone Call from Staff,False
REN-016443,MBR-006363,Monthly,2022-12-04,2023-01-03,820,Credit Card,False,0,Renewed,-6,App,True
REN-031892,MBR-012379,Monthly,2024-03-30,2024-04-29,3750,UPI,False,0,Auto-Renew Failed,5,App,False
REN-014877,MBR-005744,Monthly,2025-02-28,2025-03-30,2240,Debit Card,False,0,Renewed,15,App,True
REN-023064,MBR-008984,Quarterly,2023-05-12,2023-08-11,7320,Credit Card,False,0,Upgraded,5,App,False
REN-028430,MBR-011027,Quarterly,2022-01-16,2022-04-17,16580,Debit Card,True,25,Lapsed,7,App,False
REN-022764,MBR-008869,Monthly,2022-11-11,2022-12-11,2150,UPI,False,0,Renewed,13,App,True
REN-012285,MBR-004732,Monthly,2025-05-17,2025-06-16,4100,Debit Card,False,0,Renewed,0,App,True
REN-012766,MBR-004935,Monthly,2024-02-12,2024-03-13,4800,Debit Card,False,0,Lapsed,-4,Front Desk,False
REN-029815,MBR-011575,Monthly,2023-06-02,2023-07-02,2550,UPI,False,0,Renewed,8,App,True
REN-010306,MBR-004001,Monthly,2025-08-01,2025-08-31,3270,Cash,False,0,Renewed,4,App,True
REN-040401,MBR-015655,Half-Yearly,2026-05-17,2026-11-15,26670,Net Banking,False,0,Auto-Renew Failed,3,Phone Call from Staff,False
REN-019636,MBR-007617,Quarterly,2024-10-22,2025-01-21,26980,Credit Card,False,0,Upgraded,0,Front Desk,False
REN-030882,MBR-012001,Monthly,2025-02-23,2025-03-25,4410,UPI,False,0,Renewed,12,App,False
REN-043046,MBR-016683,Monthly,2023-05-27,2023-06-26,2490,UPI,False,0,Renewed,-7,App,False
REN-044350,MBR-017182,Monthly,2023-10-11,2023-11-10,2450,Debit Card,True,5,Renewed,17,App,False
REN-038082,MBR-014768,Quarterly,2023-07-14,2023-10-13,13450,UPI,False,0,Renewed,-7,App,False
REN-006419,MBR-002516,Half-Yearly,2025-05-07,2025-11-05,3430,Net Banking,False,0,Renewed,10,App,False
REN-008560,MBR-003318,Quarterly,2025-01-25,2025-04-26,7830,UPI,False,0,Renewed,3,Front Desk,False
