dataset,column,dtype,n_missing,pct_missing,n_unique,sample_values
members_master,member_id,str,0,0.0,17500,"['MBR-003327', 'MBR-009827', 'MBR-004184']"
members_master,full_name,str,0,0.0,4132,"['Tarun Singh', 'Priya Iyengar', 'Meena Iyer']"
members_master,gender,str,0,0.0,3,"['Male', 'Female', 'Other']"
members_master,date_of_birth,str,540,3.09,10276,"['26-01-2000', '21-07-1994', '2009/09/26']"
members_master,city,str,0,0.0,81,"['Bangalore', 'Chennai', 'Mumbai']"
members_master,city_tier,str,0,0.0,3,"['Tier1', 'Tier2', 'Tier3']"
members_master,state,str,0,0.0,17,"['Karnataka', 'Tamil Nadu', 'Maharashtra']"
members_master,occupation,str,0,0.0,7,"['Salaried-Non IT', 'Student', 'Govt Employee']"
members_master,marital_status,str,0,0.0,3,"['Married', 'Single', 'Other']"
members_master,gym_branch_id,str,0,0.0,40,"['BR-033', 'BR-010', 'BR-039']"
members_master,join_date,str,0,0.0,3143,"['10-01-2023', '2024/07/27', '2025/06/07']"
members_master,membership_type,str,0,0.0,4,"['Premium', 'Basic', 'Standard']"
members_master,referral_source,str,0,0.0,6,"['Friend Referral', 'Instagram Ad', 'Walk-in']"
members_master,preferred_workout_time,str,0,0.0,5,"['Evening (6-9pm)', 'Early Morning (5-7am)', 'Morning']"
members_master,has_personal_trainer,bool,0,0.0,2,"[False, True]"
members_master,primary_goal,str,0,0.0,6,"['Weight Loss', 'Sports Training', 'General Fitness']"
members_master,signup_channel,str,0,0.0,3,"['Website', 'App', 'In-person']"
subscription_renewal_records,renewal_id,str,0,0.0,45088,"['REN-033279', 'REN-021692', 'REN-029065']"
subscription_renewal_records,member_id,str,0,0.0,17500,"['MBR-012925', 'MBR-008441', 'MBR-011277']"
subscription_renewal_records,plan_type,str,0,0.0,4,"['Quarterly', 'Monthly', 'Half-Yearly']"
subscription_renewal_records,billing_cycle_start,str,0,0.0,2047,"['2024-10-14', '2021-06-09', '2023-01-13']"
subscription_renewal_records,billing_cycle_end,str,0,0.0,2313,"['2025-01-13', '2021-07-09', '2023-07-14']"
subscription_renewal_records,amount_paid_inr,int64,0,0.0,4611,"[5610, 5250, 18720]"
subscription_renewal_records,payment_method,str,0,0.0,5,"['UPI', 'Net Banking', 'Credit Card']"
subscription_renewal_records,discount_applied,bool,0,0.0,2,"[True, False]"
subscription_renewal_records,discount_pct,int64,0,0.0,8,"[25, 0, 20]"
subscription_renewal_records,renewal_status,str,0,0.0,5,"['Renewed', 'Upgraded', 'Auto-Renew Failed']"
subscription_renewal_records,days_before_expiry_renewed,int64,0,0.0,65,"[7, 0, 6]"
subscription_renewal_records,renewal_channel,str,0,0.0,3,"['App', 'Front Desk', 'Phone Call from Staff']"
subscription_renewal_records,corporate_tie_up_flag,bool,0,0.0,2,"[False, True]"
streak_history_episodes,streak_id,str,0,0.0,40167,"['STR-023253', 'STR-030023', 'STR-015878']"
streak_history_episodes,member_id,str,0,0.0,14473,"['MBR-017089', 'MBR-016070', 'MBR-014486']"
streak_history_episodes,streak_type,str,0,0.0,2,"['Gym-Attendance Streak', 'App-Log Streak']"
streak_history_episodes,streak_start_date,str,0,0.0,1725,"['2024-07-03', '2021-06-05', '2023-07-21']"
streak_history_episodes,streak_end_date,str,1237,3.08,1713,"['2024-07-27', '2021-06-18', '2023-08-11']"
streak_history_episodes,streak_length_days,int64,0,0.0,514,"[25, 14, 22]"
streak_history_episodes,break_reason,str,1237,3.08,8,"['Illness', 'Motivation Loss', 'Monsoon Disruption']"
streak_history_episodes,longest_streak_flag,bool,0,0.0,2,"[False, True]"
gym_checkin_workout_logs,checkin_id,str,0,0.0,108744,"['CHK-000001', 'CHK-000002', 'CHK-000003']"
gym_checkin_workout_logs,member_id,str,0,0.0,15737,"['MBR-011948', 'MBR-000791', 'MBR-009562']"
gym_checkin_workout_logs,branch_id,str,0,0.0,40,"['BR-018', 'BR-016', 'BR-008']"
gym_checkin_workout_logs,checkin_datetime,str,0,0.0,108643,"['2021-01-03 07:26:51', '2021-01-03 07:39:23', '2021-01-03 20:14:12']"
gym_checkin_workout_logs,checkout_datetime,str,13144,12.09,95507,"['2021-01-03 08:59:51', '2021-01-03 08:18:23', '2021-01-03 21:59:12']"
gym_checkin_workout_logs,workout_type,str,0,0.0,4,"['Group Class', 'Strength Training', 'Cardio']"
gym_checkin_workout_logs,trainer_id,str,96099,88.37,50,"['TR-024', 'TR-035', 'TR-015']"
gym_checkin_workout_logs,duration_minutes,int64,0,0.0,101,"[96, 40, 106]"
app_engagement_events,event_id,str,0,0.0,97983,"['APP-068554', 'APP-025551', 'APP-021145']"
app_engagement_events,member_id,str,0,0.0,16063,"['MBR-011079', 'MBR-004090', 'MBR-000721']"
app_engagement_events,event_datetime,str,0,0.0,97834,"['2023-06-18 16:51:27', '2025-06-08 19:37:04', '2023-10-28 00:56:20']"
app_engagement_events,event_type,str,0,0.0,9,"['Workout Logged Manually', 'Community/WhatsApp-style Group Post', 'Diet Log Entry']"
app_engagement_events,platform,str,0,0.0,2,"['iOS', 'Android']"
app_engagement_events,session_duration_seconds,int64,0,0.0,741,"[27, 60, 120]"
app_engagement_events,notification_engagement,str,72990,74.49,3,"['Opened', 'Dismissed', 'Ignored']"
